station_cd,station_name,lon,lat
1120823,下船渡,141.721222,39.038362
1120824,大船渡,141.720807,39.063529
1120825,盛,141.710734,39.086372
1120901,花巻,141.110458,39.393182
1120902,似内,141.140889,39.406819
1120903,新花巻,141.17302,39.405839
1120904,小山田,141.193999,39.4086
1120905,土沢,141.232488,39.383381
1120906,晴山,141.257892,39.366617
1120907,岩根橋,141.318795,39.355264
1120908,宮守,141.350271,39.351066
1120909,柏木平,141.379862,39.30606
1120910,鱒沢,141.399252,39.300158
1120911,荒谷前,141.428507,39.309928
1120912,岩手二日町,141.45606,39.323441
1120913,綾織,141.476845,39.328422
1120914,遠野,141.53072,39.332529
1120915,青笹,141.568957,39.311482
1120916,岩手上郷,141.585834,39.284658
1120917,平倉,141.595661,39.264682
1120918,足ケ瀬,141.645807,39.254766
1120919,上有住,141.681522,39.242013
1120920,陸中大橋,141.718436,39.280451
1120921,洞泉,141.760388,39.250671
1120922,松倉,141.801484,39.256458
1120923,小佐野,141.836515,39.264464
1120924,釜石,141.87267,39.273321
1121001,北上,141.121221,39.281196
1121002,柳原,141.111671,39.294597
1121003,江釣子,141.075749,39.298349
1121004,藤根,141.039571,39.301064
1121005,立川目,140.997144,39.307876
1121006,横川目,140.972143,39.309255
1121007,岩沢,140.931616,39.301016
1121008,和賀仙人,140.909485,39.308523
1121009,ゆだ錦秋湖,140.835343,39.295513
1121010,ほっとゆだ,140.775647,39.314493
1121011,ゆだ高原,140.737205,39.301074
1121012,黒沢,140.699619,39.276243
1121013,小松川,140.646094,39.293403
1121014,平石,140.628457,39.291678
1121015,相野々,140.619067,39.27805
1121016,矢美津,140.592099,39.291283
1121017,横手,140.5604,39.310146
1121101,盛岡,141.136599,39.701547
1121102,大釜,141.072202,39.711586
1121103,小岩井,141.02465,39.709731
1121104,雫石,140.974762,39.689244
1121105,春木場,140.943954,39.693396
1121106,赤渕,140.907222,39.685112
1121107,田沢湖,140.722139,39.700363
1121108,刺巻,140.69196,39.668563
1121109,神代,140.627358,39.622667
1121110,生田,140.601203,39.612065
1121111,角館,140.570988,39.591716
1121112,鶯野,140.557901,39.568536
1121113,羽後長野,140.540448,39.546003
1121114,鑓見内,140.527744,39.519323
1121115,羽後四ツ屋,140.511886,39.501511
1121116,北大曲,140.497966,39.48944
1121117,大曲,140.479628,39.465712
1121201,好摩,141.173685,39.874037
1121202,東大更,141.142537,39.902621
1121203,大更,141.100808,39.913746
1121204,平館,141.08531,39.950886
1121205,北森,141.066481,39.959201
1121206,松尾八幡平,141.043903,39.969241
1121207,安比高原,140.997239,40.012587
1121208,赤坂田,141.00394,40.048464
1121209,小屋の畑,141.020673,40.076539
1121210,荒屋新町,141.049196,40.097682
1121211,横間,141.027151,40.107475
1121212,田山,140.944126,40.139674
